name                                         | homepage                                           | description
12 - Karma Food                              | www.12.co.at                                       | "Alle Entscheidungen im 12 Karma Food basieren auf dem Motto: ""Do good and good will come to you"". Diese und alle anderen Regeln des ""Good Karma"" leben Simone und Adi im gemütlichen Laden am Laurenzerberg und im neueröffneten Lokal in der Ausstellungsstraße."
1683 Handmade Bagels & Farm Coffee           | www.bagel1683.at                                   | "Oft als amerikanische Erfindung bgetan, vergisst man die wahren Wurzeln des runden Gebäcks mit dem Loch in der Mitte. ""1683"" nennt sich die Bageldiele am Alsergrund."
Allergiker Café                              | www.allergikercafe.at                              | """Süßes für Alle"" lautet das Motto des Allergiker Cafés. Hier wird nach Lust und Laune geschlemmt, auch wenn man das eine oder andere nicht verträgt."
Avalon Kultur                                | www.avalonkultur.at                                | Das sehr ansehnliche Biersortiment im alternativen Kultur-Beisl ist nur einer der Gründe, weswegen man auch nach dem Essen gern mal etwas länger bleibt.
Bao Bar                                      | www.baobar.at                                      | Baos sind die taiwanesische Antwort auf den Burgerboom. Die hellen Brötchen werden über Wasserdampf gegart, ohne mit Wasser in Berührung zu kommen.
Baschly 1090                                 | www.baschly.com                                    | Das Wort Baschly ist eine Eigenkreation und bedeutet soviel wie Freund. Der Name ist kein Zufall, denn hier werden die Gäste wie Freunde behandelt. In der Küche werden traditionelle israelische Gerichte und beste Zutaten aus Österreich vereint.
Bio-Pizzeria Vero                            | www.vero.co.at                                     | Pizzaessen muss nicht ungesund sein! Die Pizzeria Vero hat sich auf hausgemacht Bio-Pizzen spezialisisert.
Biodeli                                      | www.biodeli.at                                     | Das Biodeli ist ein modernes Deli mit Bio- und Fairtrade-Zertifizierung. Je nach Lust und Laune wird vegetarisch gekocht, vegan und mit Fleisch, mal österreichisch, mal asiatisch oder italienisch.
Brasseria De La Marie                        | www.brasseriedelamarie.com                         | Spieglein, Spieglein an der Wand. Ganz oft begegnet man sich selbst, sobald man die Brasserie de la Marie betritt. Carmen Mihalcea ist gebürtige Rumänin und hat zum Hobby alte Möbel aufzupeppen und zu restaurieren.
Buchcafè Melange                             | www.buchcafe-melange.com                           | Bücher, Kaffee und Kuchen - Was will man mehr? Das Buchcafé Melange ist eine kleine Buchhandlung mit Café in der Reindorfgasse.
Bäckerei Felzl                               | www.felzl.at                                       | Beim Felzl schmecken die Baguettes genauso wie in Frankreich. Kein Wunder, werden diese doch nach original französischem Rezept hergestellt.
Café Caspar                                  | www.cafecaspar.com                                 | Ein bisschen versteckt, aber in bester Lage, zwischen Hauptuni und Rathaus, hat sich seit Oktober 2015 das Café Caspar eingerichtet. Und zwar mit den gemütlichsten Sofas und viel Liebe zum Design.
Café Comet / Fürth Kaffee                    | www.fuerthkaffee.eu                                | Im Café Comet wird Kaffee der eigenen Rösterei Fürth Kaffee, je nach Wunsch, als Bohne oder in der Tasse verabreicht.
Café Z                                       | www.facebook.com/cafeZwien                         | Rudolfscrime wird der 15. Wiener Gemeindebezirk liebevoll genannt. Ganz so schlimm ist es nicht mehr und viele nette Lokale und Geschäfte öffnen hier ihre Pforten. Allen voran das Café Z.
Corns N'Pops                                 | www.cornsnpops.com                                 | Das Corns n'Pops bewährt sich seit fast zehn Jahren als beliebtes Frühstücks-Lokal und Mittags-Deli im 6. Bezirk.
Das Lokal Im Hof                             | www.daslokal.at                                    | "Etwas versteckt im Innenhof der alten Alpenmilchzentrale in Wieden liegt ""Das Lokal im Hof"". Hier bewirten euch Robert Haider und Barbara Fegerl mit modern interpretierter österreichischer Gastlichkeit."
Die Süsse                                    | www.diesuesse.at                                   | Karin kocht und bäckt schon immer mit Leidenschaft und hat sich in Wieden ihre Backstube in einer ehemaligen Bäckerei eingerichtet.
Donuteria                                    | www.donuteria.com                                  | In der Donuteria wurde nicht das Rad neu erfunden, sondern der Donut. Alle, die das besondere Geschmackserlebnis suchen, sind hier richtig.
Elefant & Castle                             | www.elefantcastle.at                               | Mitten im Shopping-District für junge, kreative Mode, abseits des Mainstreams in der Mariahilfer Straße, lädt das entzückende Elefant & Castle auf der Neubaugasse - nicht zu Unrecht benannt nach einer U-Bahnstation in London - zu einer kleinen Stärkung.
Hase und Igel                                | www.haseundigel.at                                 | Die Hase und Igel Feinkost liegt zentrumsnah in der schönen Theobaldgasse im 6. Bezirk. Hier werden ausgewählte Bio Produkte für den täglichen Bedarf angeboten.
Iko                                          | www.iko.wien                                       | Im Gassengewirr der Inneren Stadt kann man sich schon mal verlieren. Auf der Suche nach dem Alten Rathaus findet man auch das IKO, in verstaubten Außenmauern ein kleines schickes, modernes Restaurant mit asiatischer Fusionsküche.
J. Hornig Kaffebar                           | www.jhornig.at                                     | Im Herzen des Szeneviertels Neubau hat sich die Spezialitätenrösterei J. Hornig niedergelassen.
Kartonage Kitchen                            | www.kartonage.kitchen                              | Frühstück verschlafen? Auf zur Kartonage Kitschen - einem kleinen Café in der Burggasse. Hier bekommt ihr Kaffee, Frühstück und Mittagessen To Go.
Kimbo Dogs - Old Idea New Hot Dogs           | www.kimbodogs.com                                  | Hot Dogs - lecker! Besonders schmackhaft sind die Gourmet Brötchen mit Würstel und köstlichen Toppings von Kimbo Dogs.
Leones Gelato                                | www.leones.at                                      | In Süditalien haben Giorgio und Lisa ihre Leidenschaft für traditionelles italienisches Eis entdeckt und ihr Handwerk erlernt.
Lingenhel                                    | www.lingenhel.com                                  | Die erste und einzige Stadtkäserei Wiens hat ihre Türen geöffnet. Lingenhel ist Genuss-Oase, Feinschmecker-Treffpunkt, Käse-Erlebniswelt und urbane Lebensmittel-Werkstätte in einem.
Lunzers Mass-Greisslerei                     | www.mass-greisslerei.at                            | Verpackungsfrei und nach eigenem Bedarf regionale Lebensmittel erwerben und der Umwelt etwas Gutes tun, das ist die Idee von Lunzers Maß-Greißlerei.
Macaroom                                     | www.macaroom.at                                    | Es darf niemand behaupten Macarons gegessen zu haben, ehe er nicht die von Melinda gekostet hat.
Mani                                         | www.mani-wien.at                                   | Mid East reicht Wien die Hand - ein absolutes Muss für Hummus-FeinschmeckerInnen.
Nam Nam - Der Inder                          | www.nam-nam.at                                     | Das Nam Nam ist Wiens bekanntester und Gerüchten zu Folge auch bester Inder. Weit weg vom klischeehaften Kitsch ist es hier nicht nur modern und gemütlich, sondern ein Palast der vielseitigen Küche Indiens.
Phil                                         | www.phil.info                                      | Auf der hippen Gumpendorfer Straße lässdt sich im phil viel erledigen: Bücher lesen, über Gott und die Welt reden, Leute schauen, gerettete Designerstücke kaufen, Musik hören...
