name                              | description | homepage                   | email                     | phone              | venue_type | opening_hours                                                    | address                                 | latitude          | longitude
12 - Karma Food                   | Tetx        | www.12.co.at               | hallo@12.co.at            | +43 676 914 8012   | RESTAURANT | Mo-Fr 9-17, Sa. 9-15                                             | Ausstellungsstr. 63, 1020 Wien          | 48.2181676        | 16.4078821
12 - Karma Food                   | Text        | www.12.co.at               | hallo@12.co.at            | +43 676 913 8012   | RESTAURANT | Mo-Fr. 11-15                                                     | Laurenzerberg 3, 1010 Wien              | 48.2109296        | 16.3778659
1683 Handmade Bages & Farm Coffee | Text        | www.bagel1683.at           |                           | +43 664 2639936    | RESTAURANT | Mo-Fr. 7:30-18:30, Sa + So + Feiertags 9:30-18:30                | Whäringer Str. 12, 1090 Wien            | 48.2167778        | 16.3600738
Allergiker Café                   | Text        |                            | kontakt@allergikercafe.at | +43 660 5371007    | RESTAURANT | Di-Fr. 9:30-19,Sa. 10-16                                         | Wiedner Hauptstr. 35, 1040 Wien         | 48.1944784        | 16.3673893
Avalon Kultur                     | Text        | www.avalonkultur.at        |                           | +43 1 942 5365     | RESTAURANT | Mo-Fr. 17-20, Sa 18-20                                           | Pfeilgasse 27, 1080 Wien                | 48.2089484        | 16.3434956
Bäckerei Felzl                    | Text        | www.felzl.at               |                           | +43 1 522 3809     | RESTAURANT | Mo-Fr. 6-19, Sa. 6-17, So + Feiertag 7-12:30                     | Lerchenfelderstr. 99-101, 1070 Wien     | 48.2074219        | 16.3435234
Bao Bar                           | Text        | www.baobar.at              |                           |                    | RESTAURANT | Mo-Sa. 10-20h                                                    | Zollergasse 2, 1070 Wien                | 48.1992751        | 16.3512409
Baschly 1090                      | Text        | www.baschly.com            |                           | +43 1 729 7900     | RESTAURANT | Mo-Do. 11-19                                                     | Schwarzspanierstr. 22, 1090 Wien        | 48.2170263        | 16.3590272
Biodeli                           | Text        | www.biodeli.at             | servus@biodeli.at         | +43 1 347 3335     | RESTAURANT | Mo-Fr 9-16                                                       | Gumpendorfer Str. 36, 1060 Wien         | 48.1987291        | 16.3575349
Biodeli                           | Text        | www.biodeli.at             | servus@biodeli.at         | +43 1 347 3335     | RESTAURANT | Mo-Fr 9-16                                                       | Otto-Bauer-Gasse 11, 1060 Wien          | 48.1957689        | 16.3487646
Bio-Pizzeria Vero                 | Text        | www.vero.co.at             |                           | +43 1 310 1179     | RESTAURANT | Mo-Fr. 11:30-14:30 & 17:30-22:30, Sa + So + Feiertag 11:30-22:30 | Whäringer Gürtel 162, 1090 Wien         | 48.230901         | 16.3525584
Brasseria De La Marie             | Text        | www.brasseriedelamarie.com |                           | +43 664 154 7737   | RESTAURANT | Mo-Fr. 11-23, Sa 10-23:45                                        | Amerlingstr. 15, 1060 Wien              | 48.1974896        | 16.3505101
