name                               |  homepage                    |  email                      |  opening_hours                                                    
12 - Karma Food                    |  www.12.co.at                |  hallo@12.co.at             |  Mo-Fr 9-17, Sa. 9-15                                             
12 - Karma Food                    |  www.12.co.at                |  hallo@12.co.at             |  Mo-Fr. 11-15                                                     
1683 Handmade Bages & Farm Coffee  |  www.bagel1683.at            |                             |  Mo-Fr. 7:30-18:30, Sa + So + Feiertags 9:30-18:30                
Allergiker Café                    |                              |  kontakt@allergikercafe.at  |  Di-Fr. 9:30-19,Sa. 10-16                                         
Avalon Kultur                      |  www.avalonkultur.at         |                             |  Mo-Fr. 17-20, Sa 18-20                                           
Bäckerei Felzl                     |  www.felzl.at                |                             |  Mo-Fr. 6-19, Sa. 6-17, So + Feiertag 7-12:30                     
Bao Bar                            |  www.baobar.at               |                             |  Mo-Sa. 10-20h                                                    
Baschly 1090                       |  www.baschly.com             |                             |  Mo-Do. 11-19                                                     
Biodeli                            |  www.biodeli.at              |  servus@biodeli.at          |  Mo-Fr 9-16                                                       
Biodeli                            |  www.biodeli.at              |  servus@biodeli.at          |  Mo-Fr 9-16                                                       
Bio-Pizzeria Vero                  |  www.vero.co.at              |                             |  Mo-Fr. 11:30-14:30 & 17:30-22:30, Sa + So + Feiertag 11:30-22:30 
Brasseria De La Marie              |  www.brasseriedelamarie.com  |                             |  Mo-Fr. 11-23, Sa 10-23:45                                        
Buchcafè Melange                   |  www.buchcafe-melange.com    |                             |  Di – Fr. 10-13 & 13:30-18:30, Sa. 10-15                          
Café Caspar                        |  www.cafecaspar.com          |  hallo@cafecaspar.com       |  Mo-Fr. 11-23                                                     
Café Z                             |  www.facebook.com/cafeZwien  |  office@cafe-z.at           |  Di-Sa. 10-22, So. 10-17                                          
Corns N'Pops                       |  www.cornsnpops.com          |                             |  Mo-Fr. 8-17, Sa. Siehe Homepage                                  
Das Lokal Im Hof                   |  www.daslokal.at             |                             |  Mo-Fr. 11-23                                                     
Die Süsse                          |  www.diesuesse.at            |                             |  Mo-Fr. 10-18                                                     
Donuteria                          |  www.donuteria.at            |                             |  Mo-Fr. 9-19, Sa 9-18                                             
Elefant & Castle                   |  www.elefantcastle.at        |                             |  Mo-Fr. 11:30-19:30                                               
Hase und Igel                      |  www.haseundigel.at          |                             |  Mo-Fr. 11-20, Sa. 11-18                                          
Iko                                |  www.iko.wien                |                             |  Mo-Fr. 11-22, Sa 12-22                                           
J. Hornig Kaffebar                 |  www.jhornig.at              |  kaffeebar@jhornig.at       |  Mo-Fr 7:30-19, Sa+So+Feiertage 9-19h                             
Kaffeemodul                        |  www.kaffeemodul.at          |                             |  Montag-Fr. 7:30-17:30, Sa. 10-14                                 
Kaffemik                           |  www.kaffeemik.at            |                             |  Mo-Fr. 8-18, Sa. 10-18, So + Feiertags 12-18                     
Kartonage Kitchen                  |  www.kartonage.kitchen       |                             |  Mo-Fr 8-18:30                                                    
Leones Gelato                      |  www.leones.at               |  ciao@leones.at             |  Siehe Homepage                                                   
Leones Gelato                      |  www.leones.at               |  ciao@leones.at             |  Siehe Homepage                                                   
Lingenhel                          |  www.lingenhel.com           |                             |  Mo-Sa 8-22                                                       
Lunzers Mass-Greisslerei           |  www.mass-greisslerei.at     |                             |  Mo-Fr 9-19, Sa 9-17                                              
Macaroom                           |  www.macaroom.at             |                             |  Di-Fr 12-18, Sa 10-14                                            
Mani                               |  www.mani-wien.at            |  welcome@mani-wien.at       |  Sommer: Di-Fr 15-23, Sa 9-23                                     
Nam Nam                            |  www.nam-nam.at              |  office@nam-nam.at          |  Di-So 11-14:30 & 18-23                                           
Phil                               |  www.phil.info               |                             |  Mo 17-1, Di-So 9-1                                               
Pitawerk                           |  www.pitawerk.at             |                             |  Mo-Fr 9-21, Sa+So+Feiertag 10-21h                                
Schachtelw!rt                      |  www.schachtelwirt.at        |                             |  Di-Fr 11:30-21, Sa 12-22                                         
Schelato                           |  www.schelato.at             |  info@schelato.at           |  Sommer: Mo-So 12-22                                              
S'Frische - Das fitte Bistro       |  www.sfrische.at             |                             |  Mo-Fr 7-18, Sa 9-13                                              
Top Kino                           |  www.topkino.at              |  office@topkino.at          |  Mo-Mi. 11-2, Do-Sa. 11-4, So. 10:30-0                            
Wiener Riesenrad                   |  www.wienerriesenrad.at      |                             |  Siehe Homepage                                                   
Sanfish                            |  www.sanfisch.at             |                             |  Siehe Homepage                                                   
Schachtelwirt                      |  www.schachtelwirt.at        |                             |  Di-Fr. 11:30-21, Sa. 12-22                                       
Schelato                           |  www.schelato.at             |  info@schelato.at           |  im Sommer: Mo-So. 12-22                                          
Schelato                           |  www.schelato.at             |  info@schelato.at           |  im Sommer: Mo-So. 12-22                                          
Schrittesser                       |  www.schrittesser.at         |                             |  Mo-Fr. 12-0, Sa. 18-0                                            
Shoyu Ramen                        |  www.shoyu.at                |                             |  Mo-Sa. 11:30-22                                                  
Simply Raw Bakery                  |  www.simplyrawbakery.at      |                             |  Mo-Sa. 9-18                                                      
Sägewerk Wien                      |  www.diebausatzlokale.at     |                             |  Mo-So. 11-2                                                      
The Room - Sofiensäler             |  www.theroom.at              |                             |  Mo-Fr. 11:30-0, Sa. 10-0, So. 10-16                              
Toma Tu Tiempo                     |  www.tomatutiempo.at         |                             |  Mo. 17-23, Di-Mi. 12-23, Do-Fr. 12-0, Sa. 11-0, So, 11-22        
Weingut & Heuriger Christ          |  www.weingut-christ.at       |                             |  Ungerade Monate: Mo-So. 15-0                                     
Wrapstars                          |  www.wrapstars.at            |                             |  Siehe Homepage                                                   
Zuppa                              |  www.zuppa.at                |                             |  Mo-Do. 8-17, Fr. 8-16                                            
Zur Herknerin                      |  www.zurherknerin.at         |                             |  Di-Fr. 17-23                                                     
