name                                         | description                                                                          | limitations                                                                                               | voucher_tags                  | voucher_types
12 - Karma Food                              | zweites Hauptgericht gratis                                                          |                                                                                                           | MAIN_COURSE                   | FOOD
12 - Karma Food                              | zweites Getränk (bis 4,20 Euro) gratis                                               |                                                                                                           |                               | DRINK
1683 Handmade Bagels & Farm Coffee           | zweites Hauptgericht gratis                                                          |                                                                                                           | MAIN_COURSE, SNACK            | FOOD
Allergiker Café                              | zweites Stück Kuchen gratis                                                          |                                                                                                           | PASTRIES                      | FOOD
Avalon Kultur                                | zweites Hauptgericht gratis                                                          |                                                                                                           | MAIN_COURSE                   | FOOD
Bao Bar                                      | Zweite Bao Box Gratis                                                                |                                                                                                           | MAIN_COURSE                   | FOOD
Baschly 1090                                 | zweites Hauptgericht gratis                                                          |                                                                                                           | MAIN_COURSE                   | FOOD
Baschly 1090                                 | Trinken bis 20 Euro zum halben Preis                                                 |                                                                                                           | ALCOHOL                       | DRINK
Bio-Pizzeria Vero                            | zweites Hauptgericht gratis                                                          |                                                                                                           | MAIN_COURSE                   | FOOD
Biodeli                                      | zweites günstigeres Hauptgericht gratis                                              |                                                                                                           | MAIN_COURSE                   | FOOD
Brasseria De La Marie                        | zweites Hauptgericht gratis                                                          |                                                                                                           | MAIN_COURSE                   | FOOD
Buchcafè Melange                             | zweiter Kaffee oder Tee und zweiter Kuchen gratis                                    |                                                                                                           | COFFEE, PASTRIES, COMBINATION | FOOD, DRINK
Bäckerei Felzl                               | zweites Frühstück gratis                                                             |                                                                                                           | BREAKFAST                     | FOOD
Café Caspar                                  | Speisen bis 20 Euro für die Hälfte oder zweiter Cocktail gratis                      | Ab 18h                                                                                                    | MAIN_COURSE, ALCOHOL          | FOOD, DRINK
Café Comet / Fürth Kaffee                    | zweiter Kaffee und zweiter Kuchen gratis                                             |                                                                                                           | COFFEE, PASTRIES, COMBINATION | FOOD, DRINK
Café Comet / Fürth Kaffee                    | Kaffee nach Wahl bei Kauf eines Päckchens Röstkaffee gratis                          |                                                                                                           | COFFEE, SHOPPING              | DRINK
Café Z                                       | zweites Hauptgericht gratis                                                          |                                                                                                           | MAIN_COURSE                   | FOOD
Corns N'Pops                                 | zweite Mehlspeise gratis                                                             |                                                                                                           | PASTRIES, SNACK               | FOOD
Corns N'Pops                                 | zweites Heißgetränk gratis                                                           |                                                                                                           | COFFEE                        | DRINK
Das Lokal Im Hof                             | zweites Hauptgericht gratis                                                          |                                                                                                           | MAIN_COURSE                   | FOOD
Die Süsse                                    | zweite Süßspeise oder Quiche gratis                                                  |                                                                                                           | PASTRIES, SNACK               | FOOD
Die Süsse                                    | zweites Getränk gratis                                                               |                                                                                                           |                               | DRINK
Donuteria                                    | zweiter Donut gratis                                                                 |                                                                                                           | PASTRIES                      | FOOD
Donuteria                                    | zum Donut eurer Wahl einen Kaffee gratis                                             |                                                                                                           | COFFEE                        | DRINK
Donuteria                                    | zweites Eis gratis                                                                   | in den Sommermonaten                                                                                      | ICE_CREAM                     | FOOD
Elefant & Castle                             | zweites Sandwhich oder zweites kleines Curry gratis                                  |                                                                                                           | MAIN_COURSE, SNACK            | FOOD
Hase und Igel                                | zweites Hauptgericht gratis                                   |                                                                                                                                  | MAIN_COURSE                   | FOOD
